"Lough Alina"	54.104722	-6.648889
"Corliss Lough"	54.098056	-6.644167
"County Water"	54.1225	-6.705556
"Quivvy Lough"	54.138889	-7.409444
"Derrykerrib Lough"	54.130278	-7.386944
"Drummoy Lough"	54.119722	-7.391111
"Castle Lough"	54.123333	-7.379167
"Flurry"	54.023333	-6.364444
"Flurry River"	54.023333	-6.364444
"Anglesey Mountain"	54.098056	-6.313333
"Lough Foyle"	55.1	-7.133333
"Lough Garrow"	54.118333	-7.333889
"Lough Anoneen"	54.143056	-7.449444
"Cull Water"	54.035	-6.4375
"Carlingford Lough"	54.05	-6.15
"Fane River"	53.95	-6.366667
"Fane"	53.95	-6.366667
"Castletown"	54	-6.4
"Castletown River"	54	-6.4
"River Erne"	54.5	-8.266667
"Ulster Canal"	54.133333	-7.366667
"Lough Ross"	54.083333	-6.65
"Erne"	54.5	-8.266667
"Leaghany River"	54.633333	-7.85
"Termon River"	54.533333	-7.85
"Woodford River"	54.148611	-7.448333
"Finn River"	54.116667	-7.333333
"Clarebane River"	54.086111	-6.655556
"Lough Vearty"	54.54037	-8.010532
"Lough More"	54.379451	-7.084799
"Lough Melvin"	54.433333	-8.166667
"Tiltinbane"	54.217449	-7.859531
"Cuilcagh"	54.200989	-7.811444
"River Finn"	54.831428	-7.480752
"Drumboy Lough"	54.042339	-6.616031
"Legalough"	54.260339	-7.864068
"Cuilcagh Mountains"	54.207556	-7.831829
"Lattone Lough"	54.358889	-8.000278
"Lough Galluane"	54.33527	-7.153845
"Lough Sallagh"	54.339966	-7.183014
"Lough na Heery"	54.345024	-7.132827
"Ulster"	54.5	-7
"Garvagh Burn"	54.703611	-7.695278
"Lough Macnean Upper"	54.3	-7.933333
"Lough Macnean Lower"	54.283333	-7.833333
"River Foyle"	54.983333	-7.3
"Mourne Beg River"	54.683333	-7.65
"Slieve Rushen"	54.15384	-7.623475
"Sruhangarve Bridge"	54.734211	-7.839722
"Lough Awaddy"	54.531944	-7.938611
"Newry River"	54.1	-6.266667
"Ireland"	53.333333	-8
"River Blackwater"	54.516667	-6.583333
"Clermont"	54.092222	-6.325278
"Kilcurry River"	54.026111	-6.430556
"Cladagh River"	54.233333	-7.583333
"Kilcoo River"	54.406696	-8.09783
"Laurel Reef"	4.739403	108.137363
"Lough A Waddy"	54.531944	-7.938611
"Lough Rushen"	54.542778	-7.971667
"Bradoge"	54.466667	-8.283333
"Bradoge River"	54.466667	-8.283333
"Keenaghan Lough"	54.486389	-8.039722
"Owenboy Burn"	54.642778	-7.813889
"Clarebane"	54.086111	-6.655556
"Kilcurry"	54.026111	-6.430556
"Kilcurry River"	54.026111	-6.430556
"Holywell Hill"	55.000632	-7.402016
"Tullynasiddagh Lough"	54.534167	-8.025278
"Loughnaweelagh"	54.696111	-7.920833
"Province of Ulster"	54.5	-7
"Cuigh Uladh"	54.5	-7
"Cuige Ulaidh"	54.5	-7
"Cúige Uladh"	54.5	-7
"Lough Nearty"	54.54037	-8.010532
"Termon"	54.533333	-7.85
"Kilcoo"	54.406696	-8.09783
"County"	54.406696	-8.09783
"County River"	54.406696	-8.09783
"Finn"	54.831428	-7.480752
"River Finn"	54.116667	-7.333333
"Finn"	54.116667	-7.333333
"Leaghany"	54.633333	-7.85
"Woodford"	54.148611	-7.448333
"Mourne Beg"	54.683333	-7.65
"Foyle"	54.983333	-7.3
"Lough Macnean"	54.3	-7.933333
"Lough Nilly"	54.283333	-7.833333
"Swanlinbar River"	54.233333	-7.583333
"Claddagh River"	54.233333	-7.583333
"Claddagh"	54.233333	-7.583333
"Newry"	54.1	-6.266667
"Beinn Tharsuinn"	57.783333	-4.35
"Ben Tharsuinn"	57.45	-5.233333
"Beinn Tharsuinn"	57.45	-5.233333
"Camus Tharbernish"	57.066667	-6.566667
"Camas Tharbernish"	57.066667	-6.566667
"Wolvesnewton"	51.691389	-2.789444
"Welsh Grounds"	51.541111	-2.809444
"Wells"	52.966667	0.85
"Wells of Ythan"	57.416667	-2.6
"Wells next the Sea"	52.966667	0.85
"Wells-on-Sea"	52.966667	0.85
"Wellow"	51.324444	-2.374167
"Tusker Rock"	51.453056	-3.670556
"Turrerich"	56.516667	-3.866667
"Glen Turret"	56.4	-3.9
"Templecombe"	51.000556	-2.415556
"Ulva House"	56.466667	-6.15
"Ulva"	56.483333	-6.233333
"Ulsta"	60.5	-1.15
"Ullapool River"	57.9	-5.166667
"Ulledale River"	58.016667	-6.916667
"Ulladale River"	58.016667	-6.916667
"Loch Strathy"	58.383333	-4.1
"Strathy"	58.55	-3.983333
"Weobley Castle"	51.616667	-4.225278
"Burn of Tynet"	57.666667	-3.033333
"River Tyne"	55.010278	-1.425556
"Strathpeffer"	57.583333	-4.55
"Tynninghame Sands"	56.016667	-2.566667
"Tarf Water"	56.883333	-3.666667
"Tarfside"	56.9	-2.833333
"River Shiel"	57.2	-5.416667
"Glen Shieldaig"	57.5	-5.583333
"Shieldaig"	57.516667	-5.65
"Loch Shiel"	56.783333	-5.583333
"Loch Shieldaig"	57.55	-5.683333
"Shiant South Rock"	57.85	-6.4
"Shiant Islands"	57.883333	-6.35
"River Tarff"	57.133333	-4.666667
"Loch Tarff"	57.166667	-4.583333
"Warrington"	53.383333	-2.6
"Shian Bay"	56.016667	-5.966667
"Sian Bay"	56.016667	-5.966667
"Shetland Islands"	60.5	-1
"Shetlands"	60.5	-1
"Shetland Isles"	60.5	-1
"Zetland"	60.5	-1
"Sherston"	51.573889	-2.2125
"Muckle Green Holm"	59.133333	-2.816667
"Muck"	56.833333	-6.25
"Muchelney"	51.018611	-2.813611
"Muckle Flaes"	60.183333	-1.55
"Muckle Burn"	56.233333	-3.9
"Muck Island"	56.833333	-6.25
"Muckle Ness"	60.333333	-1.15
"Wartle"	57.366667	-2.45
